rule_id,separation,alignment,cohesion,chaos,neighborhood_radius,OBS-POLARIZATION,OBS-HEADING-ENTROPY,OBS-SPATIAL,OBS-SPEED-VARIANCE,OBS-TRANSITION-RATE,OBS-METASTABLE-DWELL
BOIDS-D-000,0.4673787830660622,1.6781674568462808,0.9170843711813301,0.2649506572079012,14.831552974982204,0.9970529262509845,0.6713228681544626,2.722188295910898,0.0016394011374980448,0.01340033500837521,0.2888888888888889
BOIDS-D-001,1.106572266765969,0.49650813942380545,1.370509404889694,0.1602901620321682,14.748368174440234,0.9967036657731786,0.7154096646879431,2.2763339782558583,0.004269926892386242,0.010050251256281407,0.3333333333333333
BOIDS-D-002,0.7174757596588717,0.8601839290302591,1.0445984865272455,0.5611586883961752,9.679181794046041,0.9913363695487082,0.8521611445063804,2.77316971702556,0.007989177667004495,0.010050251256281407,0.3333333333333333
BOIDS-D-003,1.4965260970833074,0.6927744732367925,0.5357280439941638,0.4796194794189389,15.748241169236216,0.9934592296076539,0.7791854472757297,2.7648403679368805,0.003948782228948903,0.010050251256281407,0.3333333333333333
BOIDS-D-004,0.9384930831352282,0.8059430847609346,0.6012552052490936,0.04962628370536612,17.635957028561805,0.9967461038068968,0.6653764406492515,2.857923527885277,4.486275539238852e-05,0.010050251256281407,0.3333333333333333
BOIDS-D-005,1.1652652421762526,0.7514061706017796,0.45089896358688114,0.5180792025365891,12.044613258888674,0.9922253026333466,0.8476963500362894,2.8083192004077646,0.0042030275554166855,0.010050251256281407,0.3333333333333333
BOIDS-D-006,1.3657665324843717,0.27092183685573207,1.1811838552356688,0.12468892703452888,8.996608690136481,0.9985503959188579,0.6820811639346469,2.8756185512826793,0.0025207745593051867,0.010050251256281407,0.3333333333333333
BOIDS-D-007,0.9847179734426424,1.7748855041201634,0.6721647945347093,0.38348924366577125,13.602875547754445,0.9957178101687791,0.723612893943233,2.858323275457843,0.001741718721313807,0.010050251256281407,0.3333333333333333
BOIDS-D-008,1.4162703501727272,1.3927337591241333,0.8198811127314045,0.4622611171993132,19.684705997391113,0.9951063902958209,0.7018775562545314,2.93850520797922,0.0028685470216073526,0.010050251256281407,0.3333333333333333
BOIDS-D-009,1.732993813471233,1.7024502415039924,1.118873840189354,0.33313101663471756,14.366377145394818,0.9954476916368088,0.720387415606563,2.6171692818845886,0.0038039105234212675,0.010050251256281407,0.3333333333333333
BOIDS-D-010,1.6387665594681788,1.4589079406100898,1.0240809281319057,0.010435823938849308,17.058992106346615,0.9956948605653798,0.6925838684272079,2.7857445303206667,0.0012932242583178267,0.010050251256281407,0.3333333333333333
BOIDS-D-011,0.8857421348137458,1.1889848973158312,0.25205806082906473,0.07754343325142671,8.45619101205119,0.9996211489167997,0.6790119077024839,3.062924586804287,1.0545252206060542e-05,0.010050251256281407,0.3333333333333333
BOIDS-D-012,0.7729252515975933,0.9892514898144709,0.8610317374520715,0.03218879491288195,19.24107649756496,0.9952164057753651,0.7130130046780604,2.7957789666927404,0.00035500591833051773,0.010050251256281407,0.3333333333333333
BOIDS-D-013,0.8638159873429072,0.7013983022748771,1.1531069864573513,0.2409463900614085,18.414930838613557,0.9931796203343192,0.7587832554921335,2.4677717358485753,0.001805019337513333,0.010050251256281407,0.3333333333333333
BOIDS-D-014,1.5398820849448724,0.21709156078260602,0.31026995010067454,0.5765540188915037,12.347445368636045,0.9878645577195782,0.9811366459200163,2.8113712480132533,0.010124434090255792,0.010050251256281407,0.3333333333333333
BOIDS-D-015,1.0631631023717691,1.3450328020217335,1.277677696793357,0.2568677563610012,10.403345983413011,0.9973867658380461,0.6863670230174289,2.874123302709057,0.0024069336924505812,0.010050251256281407,0.3333333333333333
BOIDS-D-016,1.0438915338741772,1.5767415677506151,0.3913396843781374,0.07292950208386144,15.292746687453688,0.9991740591219361,0.6793730965355748,3.0614197021608676,6.891134469334684e-06,0.010050251256281407,0.3333333333333333
BOIDS-D-017,0.6613508927669622,1.0979719181159284,0.4932398710448176,0.3040635282515912,19.336617957331427,0.9973800886451749,0.671695506115829,3.0654166612053326,0.00045232884281841613,0.010050251256281407,0.3333333333333333
BOIDS-D-018,0.5437227076226301,0.3880420115306844,0.7508463974461106,0.5927155711739195,18.599185813189244,0.9888664038507495,0.9303685266721041,2.606244765812244,0.009330954785849914,0.010050251256281407,0.3333333333333333
BOIDS-D-019,1.2136914620301342,0.9425960838106582,0.8804933809618665,0.4119595347457881,8.029443228929303,0.994411581534666,0.7532595505336807,2.835186854678111,0.004518104717597557,0.01340033500837521,0.2888888888888889
BOIDS-D-020,0.5848464907707442,0.31962779635769367,0.7029176030808051,0.42621478091889603,12.681037056697615,0.9933823274133893,0.8024313965295526,2.6178804780389586,0.005716736044377223,0.010050251256281407,0.3333333333333333
BOIDS-D-021,0.41827826446829225,1.2804921997277332,1.3339823226476542,0.4344448032792744,10.657160747744001,0.9953274474451231,0.7354507811554604,2.6894870636597843,0.0037398903926717715,0.010050251256281407,0.3333333333333333
BOIDS-D-022,0.5073973026197012,1.2151375756743823,1.0904425902600101,0.1769149933654948,9.99834715576673,0.9987615850430481,0.6687528040027203,2.82629241076603,0.0012364137916776022,0.010050251256281407,0.3333333333333333
BOIDS-D-023,1.693006629375212,0.535883315615298,0.36127203856180456,0.28288554453976883,13.75257608669216,0.9965965553352686,0.6751356736185657,2.8799477406806324,0.0005506857343371166,0.010050251256281407,0.3333333333333333
BOIDS-D-024,0.8325051310337835,0.581099606980996,0.960388468237982,0.502115503577661,9.336069915923895,0.9924128289689097,0.8133494278395718,2.767120036464019,0.006439124575337193,0.01340033500837521,0.2888888888888889
BOIDS-D-025,1.2691307937056528,0.43611252549434276,0.790974420245361,0.5293361751577446,11.363231231483384,0.9916327983808036,0.8626251191203494,2.714307651715565,0.010773735879704004,0.010050251256281407,0.3333333333333333
BOIDS-D-026,1.7591729927421507,1.6315359807254275,0.5415182155694084,0.2156082689413406,16.004794296139565,0.9980373490546229,0.6703361062848686,3.0640123877683756,0.00016939070725652903,0.010050251256281407,0.3333333333333333
BOIDS-D-027,1.596190978004032,1.4123351577173635,0.6499161291092262,0.3489629274588141,16.45929822496412,0.9963301141805925,0.6863526734068638,2.8935002693128737,0.0012328308403245327,0.010050251256281407,0.3333333333333333
BOIDS-D-028,1.3504425242696878,1.0010629415288241,0.32376454562225626,0.14371456345301564,17.872187703375868,0.9986238547960288,0.6767383945598269,3.1336965013748905,1.80938513190624e-05,0.010050251256281407,0.3333333333333333
BOIDS-D-029,0.6815132309751615,1.534890238505763,0.21314730736357942,0.19877184370114637,12.934005451862113,0.9989588478871335,0.6713364855620488,3.10576627483943,3.3782340663535714e-05,0.010050251256281407,0.3333333333333333
BOIDS-D-030,1.2992911420934226,1.1002899798933214,1.2298275336736924,0.3607237266225582,16.787393843401826,0.9947094289045313,0.70324135327693,2.593154863337418,0.006163393800335097,0.010050251256281407,0.3333333333333333
BOIDS-D-031,1.469198686130698,0.6426829207771882,1.2902191509405037,0.1049657586603073,11.443227336193608,0.997893349433955,0.6884945200505544,2.6831228758584715,0.003986076687102505,0.010050251256281407,0.3333333333333333
