rule_id,topology,OBS-NETWORK-ACTIVITY,OBS-SHANNON,OBS-NETWORK-ORDER,OBS-SWITCH-RATE,OBS-TRANSITION-RATE,OBS-METASTABLE-DWELL
NET-001,ring,0.19175084175084176,0.47435020389968213,0.7308080808080808,0.2288720538720539,0.0882800608828006,0.04967793880837359
NET-001,small_world,0.17407407407407405,0.4460711805504282,0.7331369248035915,0.2333333333333333,0.0517503805175038,0.12444444444444443
NET-001,erdos_renyi,0.15328282828282824,0.41788870106540926,0.7496743132257152,0.22045454545454543,0.0502283105022831,0.10019841269841269
NET-002,ring,0.02685185185185185,0.11418705619395124,0.9497194163860829,0.03728956228956228,0.0045662100456621,0.5
NET-002,small_world,0.026936026936026935,0.11436800867522139,0.9491021324354657,0.037037037037037035,0.0030441400304414,0.6666666666666666
NET-002,erdos_renyi,0.02718855218855219,0.11605786698413062,0.9481733220050977,0.03888888888888889,0.0030441400304414,0.6666666666666666
NET-003,ring,0.0138047138047138,0.06570351351582972,0.9730078563411896,0.027020202020202017,0.0045662100456621,0.5
NET-003,small_world,0.014478114478114474,0.06838173950174997,0.9712962962962962,0.028535353535353535,0.0045662100456621,0.5
NET-003,erdos_renyi,0.015067340067340063,0.07106759374098422,0.9729538374398187,0.030050505050505046,0.0045662100456621,0.5
NET-004,ring,0.49267676767676766,0.36472224471159453,0.9622334455667788,0.0041245791245791245,0.0136986301369863,0.375
NET-004,small_world,0.3940235690235691,0.15849011530916254,0.9755331088664422,0.0015151515151515152,0.0076103500761035,0.4166666666666667
NET-004,erdos_renyi,0.3332491582491583,0.0004435765403386004,0.999773435287454,0.00016835016835016836,0.0045662100456621,0.5
NET-005,ring,0.9990740740740741,0.004879341943724604,0.9981481481481481,0.001851851851851852,0.0030441400304414,0.6666666666666666
NET-005,small_world,0.998989898989899,0.0052050414357581384,0.9981200897867565,0.00202020202020202,0.0030441400304414,0.6666666666666666
NET-005,erdos_renyi,0.9990740740740741,0.004879341943724604,0.9979325969980176,0.001851851851851852,0.0045662100456621,0.5
NET-006,ring,0.2932659932659933,0.5964187203812878,0.6087542087542088,0.38164983164983163,0.2633181126331811,0.017164639741087364
NET-006,small_world,0.286026936026936,0.5905329081309175,0.6017115600448933,0.3888888888888889,0.2496194824961948,0.018017703237829027
NET-006,erdos_renyi,0.28375420875420876,0.5881772102729249,0.5947040498442367,0.3923400673400674,0.23592085235920854,0.01915217250594099
NET-007,ring,0.4915824915824915,0.6862044734757857,0.5179012345679013,0.3476430976430977,0.0091324200913242,0.7142857142857143
NET-007,small_world,0.48695286195286197,0.6860010045434218,0.5157968574635242,0.3477272727272727,0.0060882800608828,0.7333333333333334
NET-007,erdos_renyi,0.4835858585858586,0.6828504985147248,0.5137638062871708,0.340993265993266,0.0091324200913242,0.5111111111111111
NET-008,ring,0.08476430976430976,0.280816737544833,0.8542087542087543,0.12011784511784512,0.0045662100456621,0.5
NET-008,small_world,0.08468013468013469,0.28199188617744136,0.8520763187429853,0.1212121212121212,0.0045662100456621,0.5
NET-008,erdos_renyi,0.0845117845117845,0.2803946624078906,0.8512885868026053,0.12398989898989898,0.0045662100456621,0.5
NET-009,ring,0.9994107744107744,0.0031050357823702024,0.9988215488215489,0.0011784511784511786,0.0076103500761035,0.4166666666666667
