rule_id,threshold,coupling,memory,temperature,OBS-NETWORK-ACTIVITY,OBS-SHANNON,OBS-NETWORK-ORDER,OBS-SWITCH-RATE,OBS-TRANSITION-RATE,OBS-METASTABLE-DWELL
NET-001,0.5349981642123791,1.9075463735004028,0.42014065686792845,0.4759814774776334,0.17303591470258134,0.4461033618385065,0.7378731062791292,0.2275533108866442,0.06341958396752917,0.0914402653170769
NET-002,0.6420391539236789,1.6278395237246268,1.2269199759067844,0.402283260346764,0.026992143658810322,0.11487097728443442,0.9489982902755487,0.03773849607182941,0.0035514967021816335,0.6111111111111112
NET-003,0.5506579517811443,2.0614437694970222,0.015418947146704332,0.2539593100469814,0.01445005611672278,0.06838428225285464,0.9724193300257681,0.028535353535353532,0.0045662100456621,0.5
NET-004,0.4904184681266963,2.2948901609435852,0.75132867691103,0.16291625850356659,0.4066498316498317,0.17455197885369855,0.9791799965735584,0.0019360269360269358,0.008625063419583967,0.4305555555555556
NET-005,0.39896298417427095,2.2212644681690374,0.35611279813220365,0.22179185270979745,0.9990460157126824,0.004987908441069116,0.9980669449776407,0.0019079685746352412,0.0035514967021816335,0.6111111111111112
NET-006,0.5886789331708913,1.043303996039612,0.06286247486665178,0.33934527315424823,0.287682379349046,0.5917096129283768,0.601723272881113,0.38762626262626265,0.24961948249619478,0.018111505161619128
NET-007,0.5013219509920512,0.5224028472291014,0.5533536509714854,0.44206165214151827,0.4873737373737374,0.6850186588446441,0.5158206327728654,0.34545454545454546,0.008117706747843734,0.6529100529100529
NET-008,0.5689252776834419,1.1720720336060424,0.45006387907398127,0.2925635777822043,0.08465207631874298,0.28106776204338835,0.8525245532514484,0.12177328843995511,0.0045662100456621,0.5
NET-009,0.4269120200839298,1.5532403954742902,1.1451878399229094,0.19219488143770908,0.9994107744107743,0.003105035782370203,0.9988082626192699,0.0011784511784511784,0.0076103500761035,0.4166666666666667
NET-010,0.7307221583258914,1.4726210777443764,0.7223723786763921,0.08419175056890532,0.0,0.0,1.0,0.0,0.0,1.0
NET-011,0.27843713021078215,1.7528638969876504,1.335774779546436,0.2680398754546714,0.9994107744107743,0.003105035782370203,0.9988082626192699,0.0011784511784511784,0.004058853373921867,0.5555555555555556
NET-012,0.3589382619870129,1.2844097674746418,1.0258581571442749,0.17276028466217547,0.9994949494949495,0.0026614592420316024,0.9989583442594865,0.00101010101010101,0.0045662100456621,0.5
NET-013,0.3222589587958253,1.3841377307361902,0.8297545132847253,0.4173479518443916,0.9347081930415264,0.23240441366415462,0.8820904615556745,0.09231200897867564,0.0045662100456621,0.5
NET-014,0.4648888378419901,0.8296524032367101,0.6548850004865312,0.3207880627811685,0.5944444444444446,0.658815378459538,0.5889017380450402,0.23863636363636365,0.13495687468290207,0.03391506833785694
NET-015,0.6063057784827361,0.9007204101315138,0.2731814855407594,0.09937516726572393,0.000925925925925926,0.004879341943724615,0.9981892304841422,0.001851851851851852,0.0015220700152207,0.8333333333333334
NET-016,0.3442501198083778,0.7136124280771348,0.9015715010239131,0.13246086025097226,0.9984006734006735,0.008019948439198829,0.9968654177636525,0.0015712682379349046,0.0045662100456621,0.5
NET-017,0.26253142254424155,2.160846899039676,1.4560722641490236,0.4877567879570529,0.9902356902356902,0.04642812968698058,0.9810182125862293,0.015712682379349044,0.004058853373921867,0.5555555555555556
NET-018,0.2928009928308917,1.9336398817170986,0.24769839169022229,0.3836354101030037,0.9761503928170598,0.10444650974843014,0.9538329819482468,0.04531425364758696,0.0035514967021816335,0.6111111111111112
NET-019,0.7116252868436996,2.487957455394654,0.6230429889163306,0.36808618238105645,0.0028058361391694723,0.014377878850718792,0.994587271118943,0.005611672278338945,0.0005073566717402334,0.9444444444444444
NET-020,0.4524483494638939,0.5932384746015573,1.4273646921708616,0.3437689371055684,0.5564814814814816,0.675873554851289,0.5795590903846356,0.10642536475869808,0.06189751395230847,0.0830369370720248
NET-021,0.6661194727461726,0.919010284336299,0.13227872995816567,0.27851100344742286,0.13496071829405165,0.38675004430621823,0.771636755229694,0.21588103254769922,0.0136986301369863,0.2722222222222222
NET-022,0.6934393845822049,1.7015363947595534,1.1179455436054235,0.1457115670426956,0.0,0.0,1.0,0.0,0.0015220700152207,0.8333333333333334
NET-023,0.38747212477625437,1.1248091735336059,1.3092119900844283,0.2111375074444956,0.997053872053872,0.01441903847845234,0.9942295925681179,0.0026936026936026933,0.005580923389142567,0.4722222222222222
NET-024,0.6713554717955925,2.404556265206889,0.9692706345209972,0.45281824435495266,0.011363636363636362,0.05522325069804104,0.9777771659131991,0.02118406285072951,0.0020294266869609334,0.7777777777777778
