binsPerDimension,maximumPossibleCells,scarcityOccupiedFluxCells,neutralOccupiedFluxCells,scarcityTop20FluxConcentration,scarcityFluxWeightedDirectionalPersistence,scarcitySeedHalfTop20Jaccard,scarcityVsNeutralCellFluxJensenShannon,scarcityVsNeutralAbundanceTurnoverJensenShannon,scarcityVsNeutralEdgeFluxJensenShannon
3,81,17,14,0.7364928441352437,0.2531370925752185,1.0,0.06955139923564393,0.0281919051205341,0.12884277415314876
4,256,29,26,0.7507689580760596,0.2815512034434108,0.6666666666666666,0.144060977521547,0.05510336938042295,0.23019108646402664
5,625,42,31,0.5860737390177967,0.39080215409035934,0.3,0.1794769237635631,0.08838528434234766,0.29808350577965304
6,1296,55,45,0.5782125569323223,0.42288148184439933,0.2857142857142857,0.23264761155424724,0.11736931523677264,0.40254017284096927
