binsPerDimension,condition,profile,item,mass,normalizedMass
3,scarcity,edge_flux,1.1.1.0->1.1.1.0,0.04846295443789735,0.050348750033954656
3,scarcity,edge_flux,1.1.1.0->1.1.1.1,0.013535469271304307,0.0140621628796171
3,scarcity,edge_flux,1.1.1.1->0.1.1.1,0.0005763342874563782,0.0005987606680546721
3,scarcity,edge_flux,1.1.1.1->1.0.1.1,0.02898906872626779,0.030117094426967726
3,scarcity,edge_flux,1.1.1.1->1.1.1.0,0.015340797415802004,0.015937740143340384
3,scarcity,edge_flux,1.1.1.1->1.1.1.1,0.3257387658240179,0.3384139470460632
3,scarcity,edge_flux,1.1.1.1->1.1.2.1,0.0004942691738974417,0.0005135022281388437
3,scarcity,edge_flux,1.1.1.1->2.1.1.1,0.007069266212739593,0.007344346245435994
3,scarcity,edge_flux,1.1.1.2->1.1.1.2,0.01931965115886428,0.02007141946303229
3,scarcity,edge_flux,1.1.2.1->1.1.2.1,0.0008384408861720096,0.0008710663863924653
3,scarcity,edge_flux,1.1.2.1->2.1.1.1,0.0030721538347531258,0.0031916978088913925
3,scarcity,edge_flux,1.2.1.1->1.2.1.1,0.0,0.0
3,scarcity,edge_flux,2.0.1.1->1.0.1.1,0.009631940385216087,0.010006739465680795
3,scarcity,edge_flux,2.0.1.1->2.0.1.1,0.011380150347271852,0.011822975958220848
3,scarcity,edge_flux,2.1.0.0->1.1.0.0,0.0011067482313106547,0.00114981413525228
3,scarcity,edge_flux,2.1.0.0->2.1.0.0,0.0,0.0
3,scarcity,edge_flux,2.1.0.1->2.1.0.1,0.0015385456021373188,0.0015984136509283155
3,scarcity,edge_flux,2.1.1.0->2.1.1.0,0.007856734812737106,0.00816245690667663
3,scarcity,edge_flux,2.1.1.1->2.0.1.1,0.001155396592831005,0.0012003555069486408
3,scarcity,edge_flux,2.1.1.1->2.1.1.1,0.07679981658006453,0.07978825914541172
3,scarcity,edge_flux,2.1.1.2->1.1.1.2,0.0030239543792356435,0.003141622811075644
3,scarcity,edge_flux,2.1.1.2->2.1.1.2,0.007367103867646914,0.007653773390593729
3,scarcity,edge_flux,2.2.1.1->2.2.1.1,0.0,0.0
3,neutral,cell_flux,0.0.0.1,0.0,0.0
3,neutral,cell_flux,0.0.1.0,0.0,0.0
3,neutral,cell_flux,0.0.1.1,0.0,0.0
3,neutral,cell_flux,0.1.0.1,0.0,0.0
3,neutral,cell_flux,0.1.1.1,0.014405639825247491,0.008640669606100602
3,neutral,cell_flux,1.0.0.0,0.019995232629483058,0.011993372105949971
3,neutral,cell_flux,1.0.0.1,0.07518286123999791,0.0450955509020557
3,neutral,cell_flux,1.0.1.0,0.07596882395023806,0.045566980438284846
3,neutral,cell_flux,1.0.1.1,0.16408998236610056,0.09842307183131244
3,neutral,cell_flux,1.1.0.0,0.008932623319628422,0.005357890920289807
3,neutral,cell_flux,1.1.0.1,0.21161842512630064,0.1269311822495387
3,neutral,cell_flux,1.1.1.0,0.11741255371185783,0.07042540952985923
3,neutral,cell_flux,1.1.1.1,0.7515459155043283,0.45078594414849155
3,neutral,cell_flux,1.1.1.2,0.011405367005961295,0.006841071221433185
3,neutral,cell_flux,1.1.2.1,0.0,0.0
3,neutral,cell_flux,1.2.1.1,0.0,0.0
3,neutral,cell_flux,2.0.1.0,0.035142992217550344,0.021079173740649895
3,neutral,cell_flux,2.0.1.1,0.0,0.0
3,neutral,cell_flux,2.1.0.0,0.006302307974443087,0.00378019731325056
3,neutral,cell_flux,2.1.0.1,0.009954984208212848,0.0059711148217353426
3,neutral,cell_flux,2.1.1.0,0.0,0.0
3,neutral,cell_flux,2.1.1.1,0.16523250672020184,0.09910837117104815
3,neutral,cell_flux,2.2.1.1,0.0,0.0
3,neutral,turnover,0.0.0.1,0.03571428571428571,0.0008319673087119623
3,neutral,turnover,0.0.1.0,0.15028248587570622,0.0035008432289755343
3,neutral,turnover,0.0.1.1,0.01694915254237288,0.0003948319431175415
3,neutral,turnover,0.1.0.1,0.018518518518518517,0.00043139045636916563
3,neutral,turnover,0.1.1.1,0.4280530984224803,0.009971533159850296
3,neutral,turnover,1.0.0.0,0.8526817814953408,0.019863294274275207
3,neutral,turnover,1.0.0.1,2.1208940082413124,0.049406405442795835
3,neutral,turnover,1.0.1.0,1.443533217087554,0.03362722847838629
3,neutral,turnover,1.0.1.1,4.755944044162251,0.11079011907057792
3,neutral,turnover,1.1.0.0,0.6154443107789964,0.014336827313224927
3,neutral,turnover,1.1.0.1,4.900975376297943,0.1141686362287015
3,neutral,turnover,1.1.1.0,3.1748187805879717,0.07395767222295113
3,neutral,turnover,1.1.1.1,19.263195878722545,0.4487377785075405
3,neutral,turnover,1.1.1.2,0.6779564979486953,0.015793054004620565
3,neutral,turnover,1.1.2.1,0.08575989782886334,0.0019977840789785844
3,neutral,turnover,1.2.1.1,0.04880100439422473,0.0011368235280725064
3,neutral,turnover,2.0.1.0,0.545258659469186,0.012701846625173187
3,neutral,turnover,2.0.1.1,0.08620689655172414,0.0020081969520633577
3,neutral,turnover,2.1.0.0,0.41125541125541126,0.009580229615471081
3,neutral,turnover,2.1.0.1,0.18670033670033673,0.004349200146485498
3,neutral,turnover,2.1.1.0,0.0996078431372549,0.0023203731370821474
3,neutral,turnover,2.1.1.1,2.99171803629001,0.06969232488616263
3,neutral,turnover,2.2.1.1,0.017241379310344827,0.00040163939041267145
3,neutral,edge_flux,0.0.0.1->0.0.0.1,0.0,0.0
3,neutral,edge_flux,0.0.1.0->0.0.1.0,0.0,0.0
3,neutral,edge_flux,0.0.1.1->0.0.1.1,0.0,0.0
3,neutral,edge_flux,0.1.0.1->0.1.0.1,0.0,0.0
3,neutral,edge_flux,0.1.1.1->0.1.1.1,0.014405639825247491,0.008640669606100604
3,neutral,edge_flux,1.0.0.0->1.0.0.0,0.019995232629483058,0.011993372105949973
3,neutral,edge_flux,1.0.0.0->1.0.0.1,0.007071709416233746,0.00424169320885937
3,neutral,edge_flux,1.0.0.1->1.0.0.1,0.047336209572683016,0.02839280672600487
3,neutral,edge_flux,1.0.0.1->1.0.1.1,0.008752679990785094,0.005249958827635922
3,neutral,edge_flux,1.0.0.1->1.1.0.1,0.00378944007085081,0.0022729500418963706
3,neutral,edge_flux,1.0.1.0->1.0.1.0,0.044996173146029564,0.02698922577616633
3,neutral,edge_flux,1.0.1.0->2.0.1.0,0.005283634169785496,0.0031691849674463026
3,neutral,edge_flux,1.0.1.1->1.0.0.1,0.023760506636853126,0.014251827063091332
3,neutral,edge_flux,1.0.1.1->1.0.1.0,0.025689016634422995,0.015408569694672213
3,neutral,edge_flux,1.0.1.1->1.0.1.1,0.1298657422891577,0.0778949762651268
3,neutral,edge_flux,1.0.1.1->1.1.1.1,0.019465935088432966,0.011675893310768674
3,neutral,edge_flux,1.1.0.0->1.1.0.0,0.0,0.0
3,neutral,edge_flux,1.1.0.0->2.1.0.0,0.008932623319628422,0.005357890920289808
3,neutral,edge_flux,1.1.0.1->1.0.0.1,0.009821936121794656,0.005891311038605304
3,neutral,edge_flux,1.1.0.1->1.1.0.1,0.16181713393057642,0.09705979101669099
3,neutral,edge_flux,1.1.0.1->2.1.0.1,0.01719421511846319,0.010313289362856045
3,neutral,edge_flux,1.1.1.0->1.1.1.0,0.10068453218964896,0.06039174848525766
3,neutral,edge_flux,1.1.1.0->1.1.1.1,0.007725189156623945,0.004633657925421004
3,neutral,edge_flux,1.1.1.1->1.0.1.1,0.03266229809291985,0.019591224674537607
