featureId,geometryShapley,localShapley,jaccardShapley,removeFromFullGeometryDelta,removeFromFullLocalDelta,removeFromFullJaccardDelta,isRegimeCoordinate
OBS-POLARIZATION,0.24075305058526297,0.2035294623092453,0.11927665012333205,-0.001082277960640976,0.0011749457050403977,-0.0692640692640693,False
OBS-HEADING-ENTROPY,0.20082987386281487,0.12465707700235919,0.11886471999057809,-0.00978103987646528,0.02545174724490873,-0.13250517598343686,False
OBS-SPATIAL,0.24300670462540247,0.20084078609654957,0.06253500681875966,-0.04008307772216446,-0.023167696148270744,-0.13250517598343686,False
OBS-SPEED-VARIANCE,0.23958511154931966,0.2589767847643746,0.17848535700251955,-0.0302556316499194,-0.07082415906560235,-0.13250517598343686,False
OBS-TRANSITION-RATE,-0.04059518641798284,0.04112714769098655,0.022323894937167237,0.00013576926931069266,0.0004837315471059034,0.0,True
OBS-METASTABLE-DWELL,-0.04107053501320281,0.04074744158671925,0.022323894937167237,0.0002314396313293221,0.0005751786033183492,0.0,True
