condition,seed,pre_lineages,final_lineages,moving_survivor_lineages,reweighting_norm_share,within_norm_share,lineage_directional_coherence,pre_hhi,final_hhi,top3_final_fraction,decomposition_error
scarcity_mutable,14003,27,3,3,0.8076631404317253,0.19233685956827465,0.3155693088030116,0.053223140495867766,0.3333333333333333,1.0,1.9748438260743943e-16
neutral_bottleneck_mutable,14003,27,3,3,0.6910573425276851,0.3089426574723149,0.21942997143236878,0.053223140495867766,0.3333333333333333,1.0,1.4052397852374344e-16
scarcity_mutable,14011,31,5,5,0.7533550340362773,0.24664496596372262,-0.07397992652089273,0.05349794238683127,0.20000000000000004,0.6000000000000001,2.2185478841180394e-16
neutral_bottleneck_mutable,14011,31,5,5,0.7983832927989784,0.2016167072010216,-0.10916898146494902,0.05349794238683127,0.2265625,0.75,1.3248790844362663e-16
scarcity_mutable,14029,20,3,3,0.7427704934110917,0.25722950658890836,0.3720134554180603,0.07605482397205052,0.375,1.0,2.1997497551478281e-16
neutral_bottleneck_mutable,14029,20,4,4,0.5842719372744004,0.4157280627255997,0.2949079758730737,0.07605482397205052,0.25259515570934254,0.7647058823529411,1.298611723169814e-16
scarcity_mutable,14041,28,6,6,0.8069377568888539,0.19306224311114611,-0.019696953291576183,0.054696789536266346,0.18367346938775508,0.5714285714285714,3.0540481834601374e-16
neutral_bottleneck_mutable,14041,28,6,6,0.8838503810160513,0.1161496189839487,0.02104500451713426,0.054696789536266346,0.18792866941015088,0.5925925925925926,2.8849134646878326e-16
scarcity_mutable,14057,22,5,5,0.42713256218146206,0.5728674378185379,0.3189239727676055,0.08641975308641975,0.20000000000000004,0.6000000000000001,3.337258119553657e-16
neutral_bottleneck_mutable,14057,22,5,5,0.6955345421261382,0.30446545787386187,0.00990860463528167,0.08641975308641975,0.20226843100189035,0.6521739130434783,1.9552419133213832e-16
scarcity_mutable,14071,22,3,3,0.8510845428841216,0.14891545711587834,-0.10080861983822202,0.07650903498654364,0.3600000000000001,1.0,1.610212156093512e-16
neutral_bottleneck_mutable,14071,22,3,3,0.7486263017728814,0.25137369822711864,-0.009204921875515193,0.07650903498654364,0.3472222222222222,1.0,1.1739862079479962e-16
scarcity_mutable,14087,36,3,3,0.7683875892249888,0.2316124107750111,0.35947591898113757,0.03878195920712439,0.3333333333333333,1.0,1.490752360350499e-16
neutral_bottleneck_mutable,14087,36,3,3,0.8249243242036326,0.1750756757963673,-0.058322471675177345,0.03878195920712439,0.371900826446281,1.0,2.0865774321913853e-16
scarcity_mutable,14101,29,4,4,0.811497308782453,0.1885026912175471,-0.06735380968096033,0.0661111111111111,0.28,0.8,2.1420849872268348e-16
neutral_bottleneck_mutable,14101,29,3,3,0.7800430709466366,0.21995692905336345,-0.229117752216959,0.0661111111111111,0.365,1.0,2.2953643143851447e-16
scarcity_mutable,14119,29,5,5,0.634095931240124,0.3659040687598759,0.19383352592387762,0.051836734693877555,0.25,0.75,2.2484586062492886e-16
neutral_bottleneck_mutable,14119,29,6,6,0.8532593193783372,0.1467406806216628,0.14820834959634172,0.051836734693877555,0.16872427983539093,0.5555555555555556,2.5636372471980983e-16
scarcity_mutable,14137,23,5,5,0.8710417386342325,0.1289582613657675,-0.10553110017350549,0.07533383723859914,0.2222222222222222,0.6666666666666666,2.925311677532729e-16
neutral_bottleneck_mutable,14137,23,4,4,0.8268409651741343,0.17315903482586575,-0.13728875443246183,0.07533383723859914,0.28512396694214875,0.8636363636363636,3.639448198906424e-16
scarcity_mutable,14153,34,6,6,0.7573547790292612,0.24264522097073876,0.5098987468528344,0.052444444444444446,0.18518518518518517,0.6666666666666666,3.0735462217476725e-16
neutral_bottleneck_mutable,14153,34,7,7,0.6734432667873836,0.3265567332126163,0.028570475268756328,0.052444444444444446,0.1588613406795225,0.5454545454545454,2.40501752400928e-16
scarcity_mutable,14173,26,5,5,0.8257043624422636,0.1742956375577363,0.18592667945006874,0.06441326530612244,0.20000000000000004,0.6000000000000001,2.1865774824920595e-16
neutral_bottleneck_mutable,14173,26,4,4,0.6579339818195961,0.34206601818040394,-0.019711638307142443,0.06441326530612244,0.28698224852071,0.8461538461538461,1.5265566588595902e-16
