substrate,featureCount,shiftVsGeometrySpearman,medianSameRuleShift,medianGeometryStability
ECA,5,-0.19999999999999998,0.005978708055122125,0.8918357072010753
Boids,6,0.753702346348183,0.0469166582531153,0.7954001132897089
Network,6,-0.2,0.006637016344244161,0.9907782906207961
