featureId,iccLikeReliability,signalToUncertainty,degeneracyIndex,equal_full,rul013_hard_selection,reliability_weighted,information_weighted
OBS-POLARIZATION,0.9175024466419667,9.990269981735095,0.0625,1.0,1.0,1.2570696332964026,1.5280425418313786
OBS-HEADING-ENTROPY,0.8718380265274557,7.84974165545002,0.0625,1.0,1.0,1.1945048346322291,1.3207722995493074
OBS-SPATIAL,0.9530811299650986,6.986510231894566,0.03125,1.0,1.0,1.3058159691365632,1.4217483202633479
OBS-SPEED-VARIANCE,0.9341197185499126,11.738391328198466,0.0625,1.0,1.0,1.2798369490459809,1.6515200394319343
OBS-TRANSITION-RATE,0.3513513513513513,2.309882151876054,0.875,1.0,0.0,0.4813863069444119,0.038958399462015784
OBS-METASTABLE-DWELL,0.3513513513513521,2.3098821518760593,0.875,1.0,0.0,0.48138630694441303,0.03895839946201592
