condition,seed,snapshotCount,intervalCount,cumulativeCentroidPath,cumulativeWithinLineagePath,cumulativeReweightingPath,cumulativeReweightingShare,centroidPathTortuosity,reweightingPathTortuosity,cumulativeLineageTurnoverTV,dominantLineageSwitchCount,uniqueDominantLineageCount,transientSweepCount,centroidStepReversalFraction,maxIntervalDecompositionError
scarcity_mutable,14003,34,33,0.36786133869742826,0.06072098733210352,0.36591902934816306,0.8576762962729556,2.648347071872742,2.956102881557156,2.437736448268873,3,3,0,0.2857142857142857,3.4882826242443e-16
neutral_bottleneck_mutable,14003,34,33,0.4195600432999012,0.12939655324784954,0.40269904536147777,0.7568170953000977,4.532645897119926,6.3018288840332435,1.9542207792207789,7,3,0,1.0,1.214925819315949e-16
scarcity_mutable,14011,34,33,0.24446999109021356,0.06395512677983517,0.2596822285857477,0.8023864497731078,3.103799583455785,4.366946784360976,1.863349185722909,3,3,0,0.5263157894736842,2.3780152545710324e-16
neutral_bottleneck_mutable,14011,34,33,0.26565496234043007,0.08820149718702508,0.2350675648783384,0.7271576295501141,5.524407957837264,5.346937801740219,1.7602286602286605,5,3,0,0.6666666666666666,2.6044549236726305e-16
scarcity_mutable,14029,34,33,0.35147875132427664,0.08234547338258738,0.34388688678079765,0.8068061435996496,3.7168224300793957,4.263613599890899,2.040415203543708,1,2,0,0.38095238095238093,2.225912212740863e-16
neutral_bottleneck_mutable,14029,34,33,0.3148423291372841,0.1199725543829681,0.2849312767907657,0.7037011133354997,3.3356170788657598,5.5572376154124825,1.7985263277553794,10,5,0,0.7142857142857143,2.0989437219196236e-16
scarcity_mutable,14041,34,33,0.2537626677173917,0.04493173787650919,0.2516946374328528,0.8485241313094687,4.820301180168298,5.896604207176838,1.7115465260234732,6,3,0,0.6875,3.0054803885119506e-16
neutral_bottleneck_mutable,14041,34,33,0.28104691307824425,0.10488224020457503,0.26634539593471435,0.7174718959629884,3.09099263850416,2.7472547664164018,1.8522976063494812,1,2,0,0.5555555555555556,2.98775589569075e-16
scarcity_mutable,14057,34,33,0.3278379160595899,0.08751874401703749,0.3070323862665756,0.7781814895470535,4.412678224800672,9.330152600018257,1.9387785678728975,7,4,0,0.3157894736842105,1.9191653267018644e-16
neutral_bottleneck_mutable,14057,34,33,0.38649542258454156,0.132463099391393,0.34945148502355405,0.7251315820785844,3.8049196073889946,4.106343426751905,1.863623721168478,13,5,0,0.5833333333333334,2.716822870903453e-16
scarcity_mutable,14071,34,33,0.37734075907442755,0.06864651324120345,0.36453942477855356,0.8415310673402501,3.980346707401591,4.028606128597535,2.2294598956670098,0,1,0,0.47619047619047616,2.036841656611661e-16
neutral_bottleneck_mutable,14071,34,33,0.27699801390155604,0.10767343070445369,0.24706340748111383,0.6964695540074463,3.8778497168994894,4.084736765013795,1.6051247771836006,0,1,0,0.25,1.728771838378054e-16
scarcity_mutable,14087,34,33,0.43728290594524216,0.055784750826330054,0.4295286183899734,0.8850541642477051,3.62912127037557,3.770753554677964,2.4418792095712742,4,3,0,0.3684210526315789,1.9552851993494916e-16
neutral_bottleneck_mutable,14087,34,33,0.45911254894329573,0.09108038661009167,0.4521138335153934,0.8323244555344295,3.594258167081498,3.754793695804864,1.9734377675055637,0,1,0,1.0,1.7198276359575862e-16
scarcity_mutable,14101,34,33,0.4503037198379854,0.07329436167808519,0.4278386016664858,0.8537426849973763,5.167610151243396,4.847674370356227,1.9631509852457423,6,3,0,0.47619047619047616,2.466130751632762e-16
neutral_bottleneck_mutable,14101,34,33,0.325166596701806,0.15196742200887825,0.2789423467844406,0.6473335416961323,3.21064457236855,2.754451569198194,1.6264005602240896,3,3,0,0.2857142857142857,1.9242337565178805e-16
scarcity_mutable,14119,34,33,0.31210256367555733,0.059414540999393174,0.30545194685888866,0.8371608712322453,3.495857737028489,4.205780185943254,1.8647189127740083,2,2,0,0.5185185185185185,2.413648334145598e-16
neutral_bottleneck_mutable,14119,34,33,0.2848972211932433,0.0715564894223508,0.2619566410720695,0.7854462601929013,2.769455445915128,2.511934370323754,1.7038816629993099,7,5,0,0.7777777777777778,2.5523436361293173e-16
scarcity_mutable,14137,34,33,0.2706757561804721,0.0677639544235255,0.26406234642243775,0.7957848601790545,4.058277943060308,3.7762915564579997,1.7659139958030798,2,2,0,0.3333333333333333,2.9473497143594753e-16
neutral_bottleneck_mutable,14137,34,33,0.34716808027421914,0.12345052973442233,0.2986389339335903,0.7075252041081028,4.472547329257926,4.489853165418079,1.6872579587968604,2,2,0,0.5,2.968557427739414e-16
scarcity_mutable,14153,34,33,0.28704000480927505,0.0628942138338509,0.270554434882987,0.8113826099584521,2.559415826834119,2.7259026710373306,1.74588481463388,9,4,0,0.44,2.484465305843868e-16
neutral_bottleneck_mutable,14153,34,33,0.29451532274458336,0.10857464332567196,0.288841678156841,0.7267987310620572,9.053187943561806,7.695739555629076,1.9424679411743258,5,3,0,0.4,2.7137786128043157e-16
scarcity_mutable,14173,34,33,0.3477856373770222,0.04902205536646868,0.3406455043184419,0.8741951847207695,3.1436844153862045,3.1930648540246636,1.992978097304487,2,3,0,0.45,2.5026392413545478e-16
neutral_bottleneck_mutable,14173,34,33,0.4316560299382141,0.14063987152816038,0.39740889003806734,0.7386112903247539,3.3005848161199713,3.8152094493386075,1.696287688060134,2,2,0,0.5,1.8864183121047968e-16
