stepStart,stepEnd,totalVector,withinVector,reweightingVector,totalNorm,withinNorm,reweightingNorm,decompositionError,lineageTurnoverTV,lineageCountStart,lineageCountEnd,condition,seed
225,230,"[-0.006266129830425626,-0.012969113087662576,-0.0029228675458310427,-0.003181530131201371]","[0.003061999936863622,4.2070778897765034e-05,3.3734134420284256e-05,-0.0008168200352671258]","[-0.009328129767289466,-0.01301118386656027,-0.0029566016802511914,-0.0023647100959343598]",0.015037538561830696,0.003169534118072996,0.016451086830307236,2.889551550332039e-16,0.12987012987012986,19,16,scarcity_mutable,14003
230,235,"[-0.002625848849872381,0.002495359597562752,-0.003564778835095206,-0.005510376240811132]","[0.0036915582406109454,8.29671753623368e-05,-0.0010342250450007784,-0.001602159710307674]","[-0.0063174070904832924,0.0024123924222003938,-0.0025305537900944166,-0.003908216530503307]",0.007496252141034425,0.004155842029847888,0.008210184436383813,1.5649450924449628e-16,0.05494505494505498,16,16,scarcity_mutable,14003
235,240,"[0.009770524129430358,0.00812891619720596,0.0028370945446178353,0.005834641109079719]","[0.00249978344463935,4.641041619116225e-05,-0.001170224546286609,-0.0006854104454762531]","[0.00727074068479105,0.008082505781014774,0.004007319090904395,0.006520051554555963]",0.014270058256077358,0.0028443424836548195,0.013295121224569842,6.970264852407413e-17,0.09531772575250834,16,16,scarcity_mutable,14003
240,245,"[0.010342725709814315,0.007508298492409526,-0.003069955711013761,-0.0023585886090873864]","[0.002322133525252315,-0.0031218245464003235,-0.0002523574347156086,0.0005377396526974674]","[0.008020592184562015,0.010630123038809808,-0.002817598276298154,-0.0028963282617848183]",0.013354178733792505,0.00393585325139896,0.013916069569311018,5.651179569181987e-17,0.11739130434782616,16,15,scarcity_mutable,14003
245,250,"[-0.006972332476323007,0.000930175991921689,-0.004979241713026272,-0.0029983133631653613]","[0.0014066355521754111,0.00034741942284488363,0.001740158697775835,-0.002702667793735583]","[-0.008378968028498508,0.0005827565690767145,-0.006719400410802189,-0.0002956455694298756]",0.009124767317406662,0.0035258884453076714,0.010760318704611605,1.8021214405582121e-16,0.04736842105263153,15,15,scarcity_mutable,14003
250,255,"[-0.0059043328685757235,-0.024532190726876346,0.0036286425743322637,-0.007351476692296632]","[0.0,0.0,0.0,0.0]","[-0.005904332868575682,-0.024532190726876266,0.003628642574332211,-0.007351476692296622]",0.026531128603442762,0.0,0.026531128603442672,1.0470407076333207e-16,0.10526315789473692,15,13,scarcity_mutable,14003
255,260,"[0.01189794278709766,-0.008887051197161211,-0.008751210076883731,0.004785325038913768]","[0.0,0.0,0.0,0.0]","[0.01189794278709773,-0.008887051197161227,-0.008751210076883717,0.004785325038913787]",0.01788920722345795,0.0,0.017889207223458006,7.654436623743477e-17,0.05882352941176471,13,12,scarcity_mutable,14003
260,265,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.0,12,12,scarcity_mutable,14003
265,270,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.0,12,12,scarcity_mutable,14003
270,275,"[0.006943868775551865,0.010979437070495146,-0.0021674484882027722,0.0034921747418811266]","[0.0,0.0,0.0,0.0]","[0.006943868775551873,0.010979437070495198,-0.002167448488202683,0.0034921747418811596]",0.013625654822205508,0.0,0.013625654822205548,1.0886340067002425e-16,0.06249999999999999,12,11,scarcity_mutable,14003
275,280,"[0.00645493481021564,0.0004905683379577419,0.0050260837052049645,-0.00955403521968995]","[-0.004668454277359421,0.0019004350309591357,0.0013465301670101204,-0.0017776931093164317]","[0.011123389087575106,-0.0014098666930013322,0.0036795535381948705,-0.00777634211037342]",0.012587610857074629,0.005511756065744523,0.01413251993607753,1.262570072183204e-16,0.10256410256410262,11,10,scarcity_mutable,14003
