seed,scarcityPostShockDisplacement,neutralPostShockDisplacement,scarcityMinusNeutral,scarcityBottleneckFraction,neutralBottleneckFraction,bottleneckMatchError
14003,0.13890223928893888,0.09256404599496565,0.046338193293973234,0.05357142857142857,0.05357142857142857,0.0
14011,0.07876474769611881,0.04808749903481615,0.030677248661302663,0.09398496240601503,0.09398496240601503,0.0
14029,0.09456431076175158,0.09438803126776854,0.00017627949398303644,0.06756756756756756,0.06756756756756756,0.0
14041,0.05264456685018419,0.09092448476818525,-0.03827991791800106,0.12110726643598617,0.12110726643598617,0.0
14057,0.07429454389332883,0.10157781568734951,-0.02728327179402068,0.09090909090909091,0.09090909090909091,0.0
14071,0.09480097760648576,0.07143082742335566,0.0233701501831301,0.078125,0.078125,0.0
14087,0.12049277865547565,0.1277349949839832,-0.007242216328507536,0.049668874172185434,0.049668874172185434,0.0
14101,0.08713964611468152,0.10127766850938742,-0.014138022394705907,0.08445945945945946,0.08445945945945946,0.0
14119,0.08927782168299771,0.10287120582259555,-0.013593384139597847,0.11428571428571428,0.11428571428571428,0.0
14137,0.06669719520895065,0.07762200256734239,-0.010924807358391742,0.09375,0.09375,0.0
14153,0.11215059381903193,0.03253167001288519,0.07961892380614674,0.1187335092348285,0.1187335092348285,0.0
14173,0.11062994608327963,0.13078168081911337,-0.020151734735833746,0.09025270758122744,0.09025270758122744,0.0
