condition,runCount,extinctionCount,medianPostShockRuleDisplacement,medianRulePathLength,medianFinalRuleDiversity,medianPopulationRecovery,medianLineageDiversity,medianBottleneckFraction,directionalReproducibility
stable_mutable,12,0,0.04055884268663529,0.3369379246457943,0.10204126969094374,0.6447809295998392,0.5492425972903341,0.6239329504889026,0.5040229684127099
scarcity_mutable,12,0,0.09192106622237464,0.5104322509853638,0.08715067978699878,0.0993465909090909,0.3571573583623078,0.09058089924515918,0.19519329005521635
neutral_bottleneck_mutable,12,0,0.0934760386313671,0.520287945540168,0.0938046255555435,0.33741554054054057,0.3150997562500786,0.09058089924515918,-0.06388065501939373
