substrate,global_rho_discovery,global_rho_holdout,geometry_stability_rho,local_edge_stability_rho,top10_local_edge_jaccard,local_sensitivity_q95_over_median,criteria_passed
ECA,0.023427787551470215,0.02759371863254281,0.979777916360744,0.9755508864583767,0.8899082568807339,3.601278879492673,5
Boids,0.3125829266901507,0.3301131323621101,0.6470772828564741,0.6433661509610877,0.06666666666666667,2.6441409078105558,2
Network,0.2348939084773334,0.23666974026376028,0.9924632688212478,0.9831032855251808,0.75,3.5063917615143723,5
