substrate,global_rho_discovery,global_rho_holdout,geometry_stability_rho,local_edge_stability_rho,top10_local_edge_jaccard,local_sensitivity_median,local_sensitivity_q95,local_sensitivity_q95_over_median,fraction_above_2x_median
ECA,0.023427787551470215,0.02759371863254281,0.979777916360744,0.9755508864583767,0.8899082568807339,0.9721097346995232,3.5008382561226186,3.601278879492673,0.173828125
Boids,0.3125829266901507,0.3301131323621101,0.6470772828564741,0.6433661509610877,0.06666666666666667,1.1388590860545176,3.011303897668492,2.6441409078105558,0.15
