observerId,featureCount,features,geometryStabilitySpearman,localEdgeStabilitySpearman,top10LocalEdgeJaccard
full_core,6,OBS-POLARIZATION|OBS-HEADING-ENTROPY|OBS-SPATIAL|OBS-SPEED-VARIANCE|OBS-TRANSITION-RATE|OBS-METASTABLE-DWELL,0.8102970710672184,0.8747816350391899,0.2727272727272727
rul013_selected,4,OBS-SPATIAL|OBS-SPEED-VARIANCE|OBS-POLARIZATION|OBS-HEADING-ENTROPY,0.855171025130079,0.890457487001085,0.5555555555555556
rul013_rejected_control,2,OBS-METASTABLE-DWELL|OBS-TRANSITION-RATE,-0.030215576030693726,-0.04977761194440302,0.16666666666666666
