seed,dimension,sign,center_unit,mutant_unit,actual_step_unit,initial_mutant_fraction,final_mutant_fraction,frequency_change,extinct,final_population
14003,forage_weight,-1,0.5355922213221894,0.4755922213221894,0.06,0.10909090909090909,0.25,0.14090909090909093,False,4
14003,forage_weight,1,0.5355922213221894,0.5955922213221894,0.05999999999999994,0.10909090909090909,0.0,-0.10909090909090909,False,2
14003,hazard_avoidance,-1,0.42033309814839226,0.36033309814839226,0.06,0.10909090909090909,0.0,-0.10909090909090909,False,2
14003,hazard_avoidance,1,0.42033309814839226,0.48033309814839226,0.06,0.10909090909090909,0.0,-0.10909090909090909,False,3
14003,exploration,-1,0.3889836135776569,0.3289836135776569,0.06,0.10909090909090909,0.5,0.39090909090909093,False,4
14003,exploration,1,0.3889836135776569,0.44898361357765687,0.06,0.10909090909090909,0.3333333333333333,0.22424242424242424,False,3
14003,reproduction_threshold,-1,0.39996272352252843,0.33996272352252843,0.06,0.10909090909090909,0.0,-0.10909090909090909,False,3
14003,reproduction_threshold,1,0.39996272352252843,0.4599627235225284,0.06,0.10909090909090909,0.0,-0.10909090909090909,False,3
14011,forage_weight,-1,0.5232337761294286,0.46323377612942856,0.06,0.09259259259259259,0.0,-0.09259259259259259,False,5
14011,forage_weight,1,0.5232337761294286,0.5832337761294286,0.06000000000000005,0.09259259259259259,0.0,-0.09259259259259259,False,5
14011,hazard_avoidance,-1,0.4256625554000795,0.3656625554000795,0.06,0.09259259259259259,0.0,-0.09259259259259259,False,4
14011,hazard_avoidance,1,0.4256625554000795,0.4856625554000795,0.06,0.09259259259259259,0.0,-0.09259259259259259,False,5
14011,exploration,-1,0.41893521112035675,0.35893521112035676,0.06,0.09259259259259259,0.0,-0.09259259259259259,False,5
14011,exploration,1,0.41893521112035675,0.47893521112035675,0.06,0.09259259259259259,0.0,-0.09259259259259259,False,4
14011,reproduction_threshold,-1,0.4478831851056755,0.3878831851056755,0.06,0.09259259259259259,0.0,-0.09259259259259259,False,5
