observerId,features,geometryStabilitySpearman,localEdgeStabilitySpearman,top10LocalEdgeJaccard,localSensitivityQ95OverMedianA,localSensitivityQ95OverMedianB
full_core,OBS-POLARIZATION;OBS-HEADING-ENTROPY;OBS-SPATIAL;OBS-SPEED-VARIANCE;OBS-TRANSITION-RATE;OBS-METASTABLE-DWELL,0.7465128963360554,0.7462063790801421,0.0,2.318903017936769,
state_structure,OBS-POLARIZATION;OBS-HEADING-ENTROPY;OBS-SPATIAL;OBS-SPEED-VARIANCE,0.892484722607394,0.8720815752461323,0.6,2.318903017936769,2.333822247459397
regime_dynamics,OBS-TRANSITION-RATE;OBS-METASTABLE-DWELL,0.0,0.0,0.06666666666666667,,
order_entropy,OBS-POLARIZATION;OBS-HEADING-ENTROPY,0.8554210895873775,0.8282700421940928,0.7777777777777778,3.933143106094132,3.630775018580756
