noiseScale,seedsPerHalf,observerId,geometryStabilitySpearman,localEdgeStabilitySpearman,top10LocalEdgeJaccard,localSensitivityQ95OverMedianA,localSensitivityQ95OverMedianB
1.0,1,full_core,0.7272408645420912,0.7052039381153307,0.45454545454545453,2.173360908878007,2.197612055057325
1.0,2,full_core,0.7128874659730613,0.7595583583511727,0.3333333333333333,2.501490697096313,
1.0,4,full_core,0.7465128963360554,0.7462063790801421,0.0,2.318903017936769,
0.0,1,full_core,0.6415341511434197,0.6703469292076887,0.45454545454545453,2.6033198185982784,2.9444624951671026
