cadenceSteps,condition,seed,founderId,stepStart,stepEnd,deltaP,midpointCell,fluxMagnitude,sourceCell,targetCell
5,scarcity_mutable,14003,69,180,185,0.0003246753246753248,2.1.2.1,0.0,2.1.2.1,2.1.2.1
5,scarcity_mutable,14003,1,185,190,0.002097902097902102,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,3,185,190,0.001048951048951051,2.2.1.2,0.0,2.2.1.2,2.2.1.2
5,scarcity_mutable,14003,4,185,190,0.002097902097902102,2.2.1.1,0.0,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,13,185,190,0.002097902097902102,1.1.1.2,0.0,1.1.1.2,1.1.1.2
5,scarcity_mutable,14003,17,185,190,0.0031468531468531527,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,20,185,190,0.001048951048951051,1.1.1.1,0.0,1.1.1.1,1.1.1.1
5,scarcity_mutable,14003,21,185,190,0.001048951048951051,2.2.1.1,0.0,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,23,185,190,-0.015034965034965028,1.1.1.1,0.0011005704434234318,2.1.1.1,1.1.1.1
5,scarcity_mutable,14003,24,185,190,0.002097902097902102,2.2.1.1,0.0,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,25,185,190,0.0031468531468531527,1.1.0.1,0.0,1.1.0.1,1.1.0.1
5,scarcity_mutable,14003,26,185,190,0.006293706293706305,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,33,185,190,0.005244755244755248,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,39,185,190,0.001048951048951051,2.2.1.1,0.0,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,41,185,190,0.002097902097902102,1.1.1.0,0.0,1.1.1.0,1.1.1.0
5,scarcity_mutable,14003,45,185,190,0.001048951048951051,1.1.2.1,0.0,1.1.2.1,1.1.2.1
5,scarcity_mutable,14003,46,185,190,0.002097902097902102,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,47,185,190,0.0031468531468531527,1.0.1.1,0.0,1.0.1.1,1.0.1.1
5,scarcity_mutable,14003,49,185,190,0.001048951048951051,1.2.1.1,0.0,1.2.1.1,1.2.1.1
5,scarcity_mutable,14003,51,185,190,0.001048951048951051,1.2.2.1,0.0,1.2.2.1,1.2.2.1
5,scarcity_mutable,14003,52,185,190,0.001048951048951051,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,54,185,190,-0.015034965034965028,2.1.1.1,0.0014749827335770057,2.2.1.1,2.1.1.1
5,scarcity_mutable,14003,58,185,190,0.002097902097902102,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,60,185,190,0.002097902097902102,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,63,185,190,0.0,1.2.1.1,0.0,1.2.1.1,1.2.1.1
5,scarcity_mutable,14003,64,185,190,-0.01818181818181818,1.2.1.1,0.0,1.2.1.1,1.2.1.1
5,scarcity_mutable,14003,68,185,190,0.001048951048951051,2.1.1.2,0.0,2.1.1.2,2.1.1.2
5,scarcity_mutable,14003,69,185,190,0.001048951048951051,2.1.2.1,0.0,2.1.2.1,2.1.2.1
5,scarcity_mutable,14003,1,190,195,0.0007541478129713397,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,3,190,195,0.00037707390648566985,2.2.1.2,0.0,2.2.1.2,2.2.1.2
5,scarcity_mutable,14003,4,190,195,0.0007541478129713397,2.2.1.1,0.0,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,13,190,195,0.0007541478129713397,1.1.1.2,0.0,1.1.1.2,1.1.1.2
5,scarcity_mutable,14003,17,190,195,0.0011312217194570096,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,20,190,195,0.00037707390648566985,1.1.1.1,0.0,1.1.1.1,1.1.1.1
5,scarcity_mutable,14003,21,190,195,0.00037707390648566985,2.2.1.1,0.0,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,23,190,195,0.0011312217194570096,1.1.1.1,0.0,1.1.1.1,1.1.1.1
5,scarcity_mutable,14003,24,190,195,-0.018853695324283562,2.2.1.1,0.0007979458248473285,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,25,190,195,0.0011312217194570096,1.1.0.1,0.0,1.1.0.1,1.1.0.1
5,scarcity_mutable,14003,26,190,195,0.002262443438914019,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,33,190,195,0.0018853695324283493,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,39,190,195,0.00037707390648566985,2.2.1.1,0.0,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,41,190,195,0.0007541478129713397,1.1.1.0,0.0,1.1.1.0,1.1.1.0
5,scarcity_mutable,14003,45,190,195,0.00037707390648566985,1.1.2.1,0.0,1.1.2.1,1.1.2.1
5,scarcity_mutable,14003,46,190,195,0.0007541478129713397,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,47,190,195,0.0011312217194570096,1.0.1.1,0.0,1.0.1.1,1.0.1.1
5,scarcity_mutable,14003,49,190,195,0.00037707390648566985,1.2.1.1,0.0,1.2.1.1,1.2.1.1
5,scarcity_mutable,14003,51,190,195,0.00037707390648566985,1.2.2.1,0.0,1.2.2.1,1.2.2.1
5,scarcity_mutable,14003,52,190,195,0.00037707390648566985,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,54,190,195,0.0011312217194570096,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,58,190,195,0.0007541478129713397,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,60,190,195,0.0007541478129713397,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,64,190,195,0.0,1.2.1.1,0.0,1.2.1.1,1.2.1.1
5,scarcity_mutable,14003,68,190,195,0.00037707390648566985,2.1.1.2,0.0,2.1.1.2,2.1.1.2
5,scarcity_mutable,14003,69,190,195,0.00037707390648566985,2.1.2.1,0.0,2.1.2.1,2.1.2.1
5,scarcity_mutable,14003,1,195,200,0.0016006402561024383,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,3,195,200,0.0008003201280512191,2.2.1.2,0.0,2.2.1.2,2.2.1.2
5,scarcity_mutable,14003,4,195,200,0.0016006402561024383,2.2.1.1,0.0,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,13,195,200,0.0016006402561024383,1.1.1.2,0.0,1.1.1.2,1.1.1.2
5,scarcity_mutable,14003,17,195,200,0.002400960384153661,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,20,195,200,0.0008003201280512191,1.1.1.1,0.0,1.1.1.1,1.1.1.1
5,scarcity_mutable,14003,21,195,200,0.0008003201280512191,2.2.1.1,0.0,2.2.1.1,2.2.1.1
