substrate,objective,score,representativeObserverId,representativeFeatures,representativeFeatureCount,coOptimalObserverCount
ECA,global_geometry,0.9922359879134881,ECA-OBSSET-10001,OBS-SHANNON|OBS-COMPRESSION,2,1
ECA,local_geometry,0.9902415989583861,ECA-OBSSET-10000,OBS-SHANNON,1,1
ECA,boundary_recovery,0.9619047619047619,ECA-OBSSET-00001,OBS-COMPRESSION,1,1
Boids,global_geometry,0.913980741636277,OBSSET-001100,OBS-SPATIAL|OBS-SPEED-VARIANCE,2,1
Boids,local_geometry,0.844648210192206,OBSSET-000110,OBS-SPEED-VARIANCE|OBS-TRANSITION-RATE,2,1
Boids,boundary_recovery,0.5714285714285714,OBSSET-100000,OBS-POLARIZATION,1,10
Network,global_geometry,0.9958465074210632,NETWORK-OBSSET-001110,OBS-NETWORK-ORDER|OBS-SWITCH-RATE|OBS-TRANSITION-RATE,3,1
Network,local_geometry,0.9936491775430754,NETWORK-OBSSET-111000,OBS-NETWORK-ACTIVITY|OBS-SHANNON|OBS-NETWORK-ORDER,3,1
Network,boundary_recovery,1.0,NETWORK-OBSSET-001000,OBS-NETWORK-ORDER,1,29
