condition,seed,step,population,meanEnergy,ruleDiversity,lineageDiversity,scarcityActive,forage_weight,hazard_avoidance,exploration,reproduction_threshold
stable_mutable,13001,0,72,6.97597020509163,0.10759151959564262,0.9999999999999998,False,0.483892653066144,0.47360993443085303,0.4308403258376267,0.4216966843585382
stable_mutable,13001,5,78,7.066893721275654,0.10844900001511318,0.993781296139378,False,0.49205120392756346,0.4752473066479905,0.43003445161428816,0.4150918417813006
stable_mutable,13001,10,89,7.100706299310664,0.1067603660113487,0.9848980649752135,False,0.5006116023694458,0.47743244332036666,0.42792995976933235,0.41129504811141404
stable_mutable,13001,15,95,6.8457143225120936,0.10649804577939433,0.9748159015934597,False,0.5076966012140373,0.4785939930625267,0.42936980126456437,0.41226691264542054
stable_mutable,13001,20,99,6.6513925317035225,0.10601049448888356,0.9717247561568373,False,0.5068015695751337,0.47473662586484755,0.4325276545946364,0.41085064873275157
stable_mutable,13001,25,100,6.502178606386487,0.10567114858887822,0.9706371533416519,False,0.5079698986333002,0.47533592187140783,0.43256156265873125,0.4107510973744683
stable_mutable,13001,30,103,6.27342583144319,0.10630281310411711,0.964946365772108,False,0.5124258150423769,0.4747426447621533,0.43143921071334057,0.4085432110210049
stable_mutable,13001,35,107,5.957970660174284,0.10668985602754937,0.9621559296722969,False,0.5133816632218672,0.47488117482222025,0.4297115306351839,0.4065644962668809
stable_mutable,13001,40,107,5.7376435573705455,0.10668985602754937,0.9621559296722969,False,0.5133816632218672,0.47488117482222025,0.4297115306351839,0.4065644962668809
stable_mutable,13001,45,109,5.404705143473837,0.10701344002643363,0.9597479105043275,False,0.5152168881395753,0.4731347781408787,0.42916135714203524,0.4052945775220165
stable_mutable,13001,50,109,5.1975950517307155,0.10701344002643363,0.9597479105043275,False,0.5152168881395753,0.4731347781408787,0.42916135714203524,0.4052945775220165
stable_mutable,13001,55,108,5.026688371008669,0.10679066597119394,0.9563222902901524,False,0.5175171273770128,0.4736727578930809,0.42947887191533385,0.40596755262396844
stable_mutable,13001,60,102,5.099660235969963,0.10473797145502209,0.9411667933567026,False,0.5274133348595145,0.4722116059956648,0.4308752066191837,0.4076894181797475
stable_mutable,13001,65,100,5.001731440689361,0.10409614636258845,0.9381958960713863,False,0.5295339418984624,0.47004209386468127,0.4271425284642433,0.40630515534211264
stable_mutable,13001,70,100,4.810731440689361,0.10490374938208259,0.9266829472979413,False,0.5318220256993981,0.4692458532157611,0.42861924326851414,0.4062791883755444
stable_mutable,13001,75,97,4.767955547102432,0.10507445532082625,0.9209488804453844,False,0.5335840448704099,0.4673041388074318,0.4266830430652877,0.4064323138666702
stable_mutable,13001,80,94,4.74001795818017,0.10527132023177731,0.9088558387521758,False,0.5381321319816135,0.46580564463254437,0.42690846311196995,0.4066641468681504
stable_mutable,13001,85,93,4.623674065257376,0.10416593156022602,0.9047045705327895,False,0.5366537717896366,0.4637153217361683,0.4296162103790633,0.40768430008737083
stable_mutable,13001,90,90,4.5976934229881765,0.10480364039518811,0.8954678065054418,False,0.5393451516855036,0.46212520498729276,0.42936155640023177,0.40696023562067485
stable_mutable,13001,95,86,4.694488167746439,0.10336310812029242,0.8813178984713241,False,0.5439738991375502,0.4585467653851765,0.4298183857544711,0.4070982954350497
stable_mutable,13001,100,86,4.576011423560392,0.10379049736201558,0.8625204733985843,False,0.5489873453888464,0.4495382370220691,0.4358427464176465,0.4081037550227352
stable_mutable,13001,105,85,4.506199793249338,0.10354537937139226,0.8576794331456792,False,0.5509511314769036,0.4480209773191626,0.4346752162903918,0.4072608291464043
stable_mutable,13001,110,80,4.67217158032742,0.10481611541905034,0.8458680951062229,False,0.5504611458851467,0.4452033375791582,0.43542869327782174,0.40661897885883935
stable_mutable,13001,115,77,4.767622072028488,0.10347217864386811,0.8367965597697617,False,0.5555404251892276,0.44284401707651194,0.43405978755879443,0.4074342170231639
stable_mutable,13001,120,76,4.775582888765705,0.10379309784978025,0.8356511466389934,False,0.5566448432237412,0.44171725370314757,0.43490452827598464,0.4066694280426914
stable_mutable,13001,125,76,4.707161836134126,0.10379309784978025,0.8356511466389934,False,0.5566448432237412,0.44171725370314757,0.43490452827598464,0.4066694280426914
stable_mutable,13001,129,76,4.656174994028862,0.10364533550519944,0.8259919722185887,False,0.5618858854230457,0.4438325903659497,0.4332072266171729,0.4056654556384359
stable_mutable,13001,130,75,4.70511332728258,0.10355756858041915,0.820406208559041,False,0.5631381356126681,0.44420497825231925,0.4309293780998391,0.40700937454917896
stable_mutable,13001,135,77,4.525370123976539,0.10403934196224629,0.8065608095230715,False,0.5644219825525072,0.4425774172397651,0.4281256579885654,0.4028486123014219
stable_mutable,13001,140,76,4.512254678239387,0.10449984425700115,0.8066274199766688,False,0.5645928841377484,0.44257258210068373,0.42690865305501946,0.40184015886940366
stable_mutable,13001,145,76,4.439052046660438,0.10397468613033509,0.812363981935355,False,0.5645809488213743,0.4398635843367063,0.4269572332021524,0.4033818654091947
stable_mutable,13001,150,74,4.497521777651261,0.1046207644132969,0.8050957428134196,False,0.5660460183381462,0.43807733814169053,0.4257736907312233,0.40256593493497184
stable_mutable,13001,155,72,4.567245484808241,0.10427523495191375,0.8032929493451728,False,0.5666192482355347,0.43474193149243867,0.42515082342300387,0.4054607237953546
stable_mutable,13001,160,71,4.6049588014956795,0.10434921902726896,0.8018176024292961,False,0.5687653514144205,0.4347160069406221,0.4250784763345632,0.4037341809497162
stable_mutable,13001,165,71,4.57221232262244,0.10434921902726896,0.8018176024292961,False,0.5687653514144205,0.4347160069406221,0.4250784763345632,0.4037341809497162
stable_mutable,13001,170,69,4.67405615806077,0.10460277178146445,0.7894867522791751,False,0.5695301178604333,0.43178164639096817,0.42481905833623546,0.399764407639146
stable_mutable,13001,175,69,4.649540216031784,0.1051401895904239,0.7883352455622284,False,0.5671921885575936,0.42634831009405105,0.4240727318392332,0.401893524013174
stable_mutable,13001,180,66,4.851759922821108,0.10588546154498545,0.7843625238498968,False,0.5686708088413149,0.42229061160537434,0.4228116975558911,0.40264408059934026
stable_mutable,13001,185,66,4.87168188677341,0.1043796851307755,0.7736838528514153,False,0.5736843337908706,0.42641886601586565,0.42369744042920693,0.396202803287029
stable_mutable,13001,190,65,4.948400069646847,0.1040156514670197,0.7669451281673627,False,0.5727641391045463,0.425242609047013,0.42092996753140766,0.3938378145314041
stable_mutable,13001,195,64,5.018670695735079,0.10394989785982503,0.7710644084345996,False,0.5710437927679454,0.4237639172789845,0.4206830234233568,0.39628586352326417
stable_mutable,13001,200,66,4.926438250409772,0.10320454636971824,0.7687331212158035,False,0.5705820540808251,0.4241012256734584,0.4200393918360407,0.39619643915203795
stable_mutable,13001,205,66,4.933559462530985,0.10305723019902688,0.7539988917255197,False,0.5709465061972456,0.42632790225252054,0.41907273156711644,0.394837372110302
stable_mutable,13001,210,66,4.964629843137044,0.10344452888755469,0.7482316305571326,False,0.5729209367510413,0.42625188578629897,0.417931535902454,0.3905189476487461
stable_mutable,13001,215,66,5.006448024955226,0.10290621549399641,0.7386540510227357,False,0.572054387169755,0.42478710576743234,0.41571809709296503,0.3889061764391094
stable_mutable,13001,220,63,4.903658430826898,0.10496414387265741,0.7092128660370524,False,0.578934582587729,0.41914262209695563,0.4060484099340491,0.38951485761239596
stable_mutable,13001,225,58,4.995058364518873,0.10648204517349966,0.6751994335523229,False,0.5842103474635197,0.4205207930900471,0.4059913511110485,0.38515019292172303
stable_mutable,13001,230,54,5.117210835964719,0.10737273030491948,0.6539189640678322,False,0.586933436431352,0.41797569956438996,0.4120785527743525,0.3820613153393594
stable_mutable,13001,235,48,5.161009690460312,0.10771723711928913,0.6172211286899099,False,0.5989843872766082,0.4228069465493771,0.4047021742805603,0.3753598521274357
stable_mutable,13001,240,42,5.37989812243084,0.1051299506686543,0.559909768670631,False,0.6054738015975418,0.4211895916591862,0.39455068975666924,0.3633230054781993
stable_mutable,13001,245,41,5.438247013221837,0.10425752058806545,0.5524288566912007,False,0.6071745733124132,0.4213915033506934,0.39759913740954306,0.3629038764362548
stable_mutable,13001,250,38,5.7392013338946555,0.10594043720010214,0.5546308461704152,False,0.6049265259056001,0.41610268661995475,0.3981852959229101,0.3694727249934208
stable_mutable,13001,255,35,5.564278199588487,0.10884127556363815,0.5522653056500666,False,0.596604412516049,0.40538154884619654,0.3927275525051461,0.3746758522161073
stable_mutable,13001,259,34,5.896041676046974,0.11049510033662605,0.550411693779256,False,0.5991817179166312,0.4053436410868171,0.38151895306697103,0.37437923855253386
scarcity_mutable,13001,0,72,6.97597020509163,0.10759151959564262,0.9999999999999998,False,0.483892653066144,0.47360993443085303,0.4308403258376267,0.4216966843585382
scarcity_mutable,13001,5,78,7.066893721275654,0.10844900001511318,0.993781296139378,False,0.49205120392756346,0.4752473066479905,0.43003445161428816,0.4150918417813006
scarcity_mutable,13001,10,89,7.100706299310664,0.1067603660113487,0.9848980649752135,False,0.5006116023694458,0.47743244332036666,0.42792995976933235,0.41129504811141404
scarcity_mutable,13001,15,95,6.8457143225120936,0.10649804577939433,0.9748159015934597,False,0.5076966012140373,0.4785939930625267,0.42936980126456437,0.41226691264542054
scarcity_mutable,13001,20,99,6.6513925317035225,0.10601049448888356,0.9717247561568373,False,0.5068015695751337,0.47473662586484755,0.4325276545946364,0.41085064873275157
scarcity_mutable,13001,25,100,6.502178606386487,0.10567114858887822,0.9706371533416519,False,0.5079698986333002,0.47533592187140783,0.43256156265873125,0.4107510973744683
scarcity_mutable,13001,30,103,6.27342583144319,0.10630281310411711,0.964946365772108,False,0.5124258150423769,0.4747426447621533,0.43143921071334057,0.4085432110210049
scarcity_mutable,13001,35,107,5.957970660174284,0.10668985602754937,0.9621559296722969,False,0.5133816632218672,0.47488117482222025,0.4297115306351839,0.4065644962668809
scarcity_mutable,13001,40,107,5.7376435573705455,0.10668985602754937,0.9621559296722969,False,0.5133816632218672,0.47488117482222025,0.4297115306351839,0.4065644962668809
scarcity_mutable,13001,45,109,5.404705143473837,0.10701344002643363,0.9597479105043275,False,0.5152168881395753,0.4731347781408787,0.42916135714203524,0.4052945775220165
scarcity_mutable,13001,50,109,5.1975950517307155,0.10701344002643363,0.9597479105043275,False,0.5152168881395753,0.4731347781408787,0.42916135714203524,0.4052945775220165
scarcity_mutable,13001,55,108,5.026688371008669,0.10679066597119394,0.9563222902901524,False,0.5175171273770128,0.4736727578930809,0.42947887191533385,0.40596755262396844
scarcity_mutable,13001,60,102,5.099660235969963,0.10473797145502209,0.9411667933567026,False,0.5274133348595145,0.4722116059956648,0.4308752066191837,0.4076894181797475
scarcity_mutable,13001,65,100,5.001731440689361,0.10409614636258845,0.9381958960713863,False,0.5295339418984624,0.47004209386468127,0.4271425284642433,0.40630515534211264
scarcity_mutable,13001,70,100,4.810731440689361,0.10490374938208259,0.9266829472979413,False,0.5318220256993981,0.4692458532157611,0.42861924326851414,0.4062791883755444
scarcity_mutable,13001,75,97,4.767955547102432,0.10507445532082625,0.9209488804453844,False,0.5335840448704099,0.4673041388074318,0.4266830430652877,0.4064323138666702
scarcity_mutable,13001,80,94,4.74001795818017,0.10527132023177731,0.9088558387521758,False,0.5381321319816135,0.46580564463254437,0.42690846311196995,0.4066641468681504
scarcity_mutable,13001,85,93,4.623674065257376,0.10416593156022602,0.9047045705327895,False,0.5366537717896366,0.4637153217361683,0.4296162103790633,0.40768430008737083
scarcity_mutable,13001,90,90,4.5976934229881765,0.10480364039518811,0.8954678065054418,False,0.5393451516855036,0.46212520498729276,0.42936155640023177,0.40696023562067485
scarcity_mutable,13001,95,86,4.694488167746439,0.10336310812029242,0.8813178984713241,False,0.5439738991375502,0.4585467653851765,0.4298183857544711,0.4070982954350497
scarcity_mutable,13001,100,86,4.576011423560392,0.10379049736201558,0.8625204733985843,False,0.5489873453888464,0.4495382370220691,0.4358427464176465,0.4081037550227352
scarcity_mutable,13001,105,85,4.506199793249338,0.10354537937139226,0.8576794331456792,False,0.5509511314769036,0.4480209773191626,0.4346752162903918,0.4072608291464043
scarcity_mutable,13001,110,80,4.67217158032742,0.10481611541905034,0.8458680951062229,False,0.5504611458851467,0.4452033375791582,0.43542869327782174,0.40661897885883935
scarcity_mutable,13001,115,77,4.767622072028488,0.10347217864386811,0.8367965597697617,False,0.5555404251892276,0.44284401707651194,0.43405978755879443,0.4074342170231639
scarcity_mutable,13001,120,76,4.775582888765705,0.10379309784978025,0.8356511466389934,False,0.5566448432237412,0.44171725370314757,0.43490452827598464,0.4066694280426914
scarcity_mutable,13001,125,76,4.707161836134126,0.10379309784978025,0.8356511466389934,False,0.5566448432237412,0.44171725370314757,0.43490452827598464,0.4066694280426914
scarcity_mutable,13001,129,76,4.656174994028862,0.10364533550519944,0.8259919722185887,False,0.5618858854230457,0.4438325903659497,0.4332072266171729,0.4056654556384359
