condition,runCount,extinctionCount,medianRuleDisplacement,medianRulePathLength,medianFinalRuleDiversity,medianPopulationRecovery,medianLineageDiversity,directionalReproducibility
stable_mutable,12,0,0.14504951590686835,0.286103045818095,0.09726851516969834,0.5343353842342157,0.5117582200513705,0.6036276055179305
scarcity_mutable,12,0,0.1766303927422407,0.4466023800618508,0.08471873399687713,0.11493281998899976,0.25688521341031656,0.3970210236134301
scarcity_frozen,12,0,0.13090458083381037,0.42678453055703114,0.07252681274690403,0.10002747252747253,0.28419231958157765,0.23622342658558182
