substrate,featureCount,reliabilityVsGeometrySpearman,signalToUncertaintyVsGeometrySpearman,degeneracyVsGeometrySpearman,medianReliability,medianGeometryStability
ECA,5,0.6,0.6,-0.5642880936468347,0.9513135491060807,0.8918357072010753
Boids,6,0.9856107606091624,0.6377481392176932,-0.9393364366277243,0.8946702365847112,0.7954001132897089
Network,6,0.8857142857142858,0.8857142857142858,-0.15430334996209194,0.9975594368666135,0.9907782906207961
