from_rule,to_rule,syntactic_distance,observable_distance,observer_id
16,24,0.125,0.09246365468699763,OBSERVER-EBID-CORE
16,48,0.125,0.17122978741697925,OBSERVER-EBID-CORE
16,80,0.125,0.13701078142724335,OBSERVER-EBID-CORE
16,144,0.125,0.057970276108410435,OBSERVER-EBID-CORE
17,19,0.125,0.052305383936135146,OBSERVER-EBID-CORE
17,21,0.125,0.06437086030690096,OBSERVER-EBID-CORE
17,25,0.125,0.09477471593775266,OBSERVER-EBID-CORE
17,49,0.125,0.12178614682737778,OBSERVER-EBID-CORE
17,81,0.125,0.08181023216321281,OBSERVER-EBID-CORE
17,145,0.125,0.1650472195839327,OBSERVER-EBID-CORE
18,19,0.125,0.18674237870294885,OBSERVER-EBID-CORE
18,22,0.125,0.12923205562606135,OBSERVER-EBID-CORE
18,26,0.125,0.13028832739112736,OBSERVER-EBID-CORE
18,50,0.125,0.1994778313978353,OBSERVER-EBID-CORE
18,82,0.125,0.12844513466349292,OBSERVER-EBID-CORE
18,146,0.125,0.040182577581517165,OBSERVER-EBID-CORE
19,23,0.125,0.017127877194202716,OBSERVER-EBID-CORE
19,27,0.125,0.08880672436155923,OBSERVER-EBID-CORE
19,51,0.125,0.1462660479301604,OBSERVER-EBID-CORE
19,83,0.125,0.09086826775982507,OBSERVER-EBID-CORE
19,147,0.125,0.20768769535288242,OBSERVER-EBID-CORE
20,21,0.125,0.11082065022420225,OBSERVER-EBID-CORE
20,22,0.125,0.1987625162404342,OBSERVER-EBID-CORE
20,28,0.125,0.26187180182367736,OBSERVER-EBID-CORE
20,52,0.125,0.04294397714279726,OBSERVER-EBID-CORE
20,84,0.125,0.1265038975846563,OBSERVER-EBID-CORE
20,148,0.125,0.03400822851251995,OBSERVER-EBID-CORE
21,23,0.125,0.018498602042639815,OBSERVER-EBID-CORE
21,29,0.125,0.21956719078992354,OBSERVER-EBID-CORE
21,53,0.125,0.10709634367427667,OBSERVER-EBID-CORE
21,85,0.125,0.1659839746068393,OBSERVER-EBID-CORE
21,149,0.125,0.26849976849568247,OBSERVER-EBID-CORE
22,23,0.125,0.21487867299425167,OBSERVER-EBID-CORE
22,30,0.125,0.08293610232430279,OBSERVER-EBID-CORE
22,54,0.125,0.07845785907374235,OBSERVER-EBID-CORE
22,86,0.125,0.08292459368194671,OBSERVER-EBID-CORE
22,150,0.125,0.11635847937707204,OBSERVER-EBID-CORE
23,31,0.125,0.022016725271635357,OBSERVER-EBID-CORE
23,55,0.125,0.018919740698395433,OBSERVER-EBID-CORE
23,87,0.125,0.022777479920335315,OBSERVER-EBID-CORE
23,151,0.125,0.21685002224677785,OBSERVER-EBID-CORE
24,25,0.125,0.13026778318320786,OBSERVER-EBID-CORE
24,26,0.125,0.14699217894113117,OBSERVER-EBID-CORE
24,28,0.125,0.2546975772462717,OBSERVER-EBID-CORE
24,56,0.125,0.20810568464442702,OBSERVER-EBID-CORE
24,88,0.125,0.0923946848659926,OBSERVER-EBID-CORE
24,152,0.125,0.01266620443348518,OBSERVER-EBID-CORE
25,27,0.125,0.019579560969172773,OBSERVER-EBID-CORE
25,29,0.125,0.09274934286404173,OBSERVER-EBID-CORE
25,57,0.125,0.24217612678417083,OBSERVER-EBID-CORE
25,89,0.125,0.21948155292306806,OBSERVER-EBID-CORE
25,153,0.125,0.08352263015373378,OBSERVER-EBID-CORE
26,27,0.125,0.09186497879989403,OBSERVER-EBID-CORE
26,30,0.125,0.2221278355218914,OBSERVER-EBID-CORE
26,58,0.125,0.07352471296351817,OBSERVER-EBID-CORE
26,90,0.125,0.0872710387008396,OBSERVER-EBID-CORE
26,154,0.125,0.03882416378323796,OBSERVER-EBID-CORE
27,31,0.125,0.11490951933830361,OBSERVER-EBID-CORE
27,59,0.125,0.062206696663749735,OBSERVER-EBID-CORE
27,91,0.125,0.06422000052288848,OBSERVER-EBID-CORE
27,155,0.125,0.05799472208864897,OBSERVER-EBID-CORE
28,29,0.125,0.10506513534054036,OBSERVER-EBID-CORE
28,30,0.125,0.2740499443705762,OBSERVER-EBID-CORE
28,60,0.125,0.1829302335430924,OBSERVER-EBID-CORE
28,92,0.125,0.005778290145736486,OBSERVER-EBID-CORE
