condition,cellId,fluxMagnitude,netFluxVector,directionalPersistence,abundanceTurnoverMass
scarcity_mutable,0.0.1.1,0.0,"[0.0,0.0,0.0,0.0]",0.0,0.029562475364603862
scarcity_mutable,1.0.0.1,0.00045978748951977847,"[-0.00024876430380377506,0.00017739429483827385,-0.0001643285479769049,-0.00030174202417057713]",1.0,0.24852114758947058
scarcity_mutable,1.0.1.1,0.013954993474824887,"[0.001086932152935045,-0.005595685830834937,-0.0005922708125841026,0.0007649435735531532]",0.41431661130613345,1.1554301574269548
scarcity_mutable,1.0.1.2,0.015377378832511276,"[0.002727774605015923,-0.0020749446765849296,0.00035674058389581096,-0.00010393167602404407]",0.22418313738156287,0.44287600064180255
scarcity_mutable,1.0.2.1,0.035733807945971266,"[0.007136216016029006,0.006626747751808531,-0.006863690111473251,0.005540240408539181]",0.36770224634749715,0.8670651249015069
scarcity_mutable,1.0.2.2,0.0341641856878833,"[0.009997363182269223,-0.007805458717694887,-0.0038597340306737588,0.003305741152625842]",0.39994352965502467,0.8169669507059377
scarcity_mutable,1.1.0.1,0.010997993006770596,"[0.0014387240042852173,-0.003856656765350631,-0.0037267893293367587,-0.0008845545262872289]",0.511250802474008,0.6800567606766283
scarcity_mutable,1.1.0.2,0.008515621196165009,"[0.0025016940891155197,-0.001294265638710571,-0.0031008169691530184,0.005640439232642666]",0.8250597393150585,0.5812985035303732
scarcity_mutable,1.1.1.0,0.0020692499180565834,"[-0.0012586516839281788,0.0002288298017044161,0.001560185794305517,0.0004594000119951217]",1.0,0.17454966195777444
scarcity_mutable,1.1.1.1,0.05833489687808119,"[-0.00015839004232254044,-0.010319000861065882,-0.001512566545420064,-0.0020830972985360994]",0.18233421493015706,4.408075289828328
scarcity_mutable,1.1.1.2,0.019476182393701347,"[-0.0035210226650536185,-0.0029511593600784905,0.0006129545393845836,0.0051127559205172085]",0.3543269747688309,1.9004916105475358
scarcity_mutable,1.1.2.0,0.0,"[0.0,0.0,0.0,0.0]",0.0,0.08243580507731452
scarcity_mutable,1.1.2.1,0.007766517985816539,"[-0.0004311812791815753,-0.0013918739319436473,0.0008175713138267546,-0.0008832315084506889]",0.24334041286046726,1.0996268023749982
scarcity_mutable,1.1.2.2,0.01123617904709931,"[0.006210619701497627,-0.0018775358058470688,-0.0021589043096109633,0.00143874319904051]",0.6218918599676503,0.9738593816615863
scarcity_mutable,1.2.1.0,0.0,"[0.0,0.0,0.0,0.0]",0.0,0.06640211640211639
scarcity_mutable,1.2.1.1,0.0024344715863736373,"[0.0007952404586619658,-0.00012492330270971538,-0.0015730166942770764,-0.0010445152154196996]",0.8431638621683006,0.5471159111030653
scarcity_mutable,1.2.1.2,0.0,"[0.0,0.0,0.0,0.0]",0.0,0.10901117310835523
scarcity_mutable,1.2.1.3,0.0,"[0.0,0.0,0.0,0.0]",0.0,0.018518518518518517
scarcity_mutable,1.2.2.1,0.0,"[0.0,0.0,0.0,0.0]",0.0,0.1260405172169878
scarcity_mutable,1.2.2.2,0.0008384408861720096,"[0.00034805162430528286,-0.00010251311647260103,0.0007062066333702501,-0.0002694558189356667]",1.0,0.12295092491635728
scarcity_mutable,2.0.1.1,0.01638289451443075,"[0.004749147161417239,0.005129745352816533,0.001470638198609364,0.00032571444104108056]",0.4364950623564023,0.41374107649501596
scarcity_mutable,2.0.1.2,0.0,"[0.0,0.0,0.0,0.0]",0.0,0.19117647058823528
scarcity_mutable,2.0.2.1,0.0,"[0.0,0.0,0.0,0.0]",0.0,0.12626262626262627
scarcity_mutable,2.1.0.0,0.006260749953640687,"[0.0019337263412211722,-0.00036483723212673343,-0.0026609256730667306,-0.0012793013265676835]",0.5667331163671558,0.22241055090946907
scarcity_mutable,2.1.0.1,0.019092618727200368,"[0.002773482960265851,-0.005558789809829916,-0.004818819559891086,0.0008482073782721145]",0.4141794437044808,1.3439090640694125
